# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 1821 3 2034 2081 13513441 3 ./34/disk/PFADI/MPALETTE.PAL
DUPTYPE_WITHIN_SAME_TREE -1821 3 2034 2081 13513892 3 ./84/disk/PFADI/MPALETTE.PAL
DUPTYPE_WITHIN_SAME_TREE -1821 3 2034 2081 13513967 3 ./86/disk/PFADI/MPALETTE.PAL
DUPTYPE_FIRST_OCCURRENCE 98 2 2048 2081 13514340 3 ./110/disk/01260497.SRM
DUPTYPE_WITHIN_SAME_TREE -98 2 2048 2081 13513701 3 ./55/disk/02131297.SRM
DUPTYPE_WITHIN_SAME_TREE -98 2 2048 2081 13512853 3 ./58/disk/011_____.SRM
DUPTYPE_WITHIN_SAME_TREE -98 2 2048 2081 13513681 3 ./54/disk/01SONG01.SRM
DUPTYPE_WITHIN_SAME_TREE -98 2 2048 2081 13515091 3 ./187/disk/0120_2_7.SRM
DUPTYPE_WITHIN_SAME_TREE -98 2 2048 2081 13514349 3 ./110/disk/02151997.SRM
DUPTYPE_WITHIN_SAME_TREE -98 2 2048 2081 13513692 3 ./55/disk/01PIANO_.SRM
DUPTYPE_WITHIN_SAME_TREE -98 2 2048 2081 13513665 3 ./53/disk/01310397.SRM
DUPTYPE_WITHIN_SAME_TREE -98 2 2048 2081 13512868 3 ./58/disk/02VIS_03.SRM
DUPTYPE_FIRST_OCCURRENCE 1058 2 2048 2081 13512818 3 ./56/disk/01150397.SRM
DUPTYPE_WITHIN_SAME_TREE -1058 2 2048 2081 13512911 3 ./58/disk/03VIS_02.SRM
DUPTYPE_FIRST_OCCURRENCE 96 2 2048 2081 13514344 3 ./110/disk/01260497.SLS
DUPTYPE_WITHIN_SAME_TREE -96 2 2048 2081 13514353 3 ./110/disk/02151997.SLS
DUPTYPE_WITHIN_SAME_TREE -96 2 2048 2081 13515095 3 ./187/disk/0120_2_7.SLS
DUPTYPE_FIRST_OCCURRENCE 1052 2 2048 2081 13512824 3 ./56/disk/01150397.CRM
DUPTYPE_WITHIN_SAME_TREE -1052 2 2048 2081 13512912 3 ./58/disk/03VIS_02.CRM
DUPTYPE_FIRST_OCCURRENCE 92 2 2048 2081 13514341 3 ./110/disk/01260497.CRM
DUPTYPE_WITHIN_SAME_TREE -92 2 2048 2081 13515092 3 ./187/disk/0120_2_7.CRM
DUPTYPE_WITHIN_SAME_TREE -92 2 2048 2081 13514350 3 ./110/disk/02151997.CRM
DUPTYPE_WITHIN_SAME_TREE -92 2 2048 2081 13513666 3 ./53/disk/01310397.CRM
DUPTYPE_WITHIN_SAME_TREE -92 2 2048 2081 13513693 3 ./55/disk/01PIANO_.CRM
DUPTYPE_WITHIN_SAME_TREE -92 2 2048 2081 13512855 3 ./58/disk/011_____.CRM
DUPTYPE_WITHIN_SAME_TREE -92 2 2048 2081 13513702 3 ./55/disk/02131297.CRM
DUPTYPE_WITHIN_SAME_TREE -92 2 2048 2081 13513682 3 ./54/disk/01SONG01.CRM
DUPTYPE_FIRST_OCCURRENCE 1038 2 2048 2081 13513696 3 ./55/disk/01PIANO_.SLS
DUPTYPE_WITHIN_SAME_TREE -1038 2 2048 2081 13513705 3 ./55/disk/02131297.SLS
DUPTYPE_FIRST_OCCURRENCE 1801 3 2100 2081 13513415 3 ./34/disk/ELEKTRON/STROBBO.XLS
DUPTYPE_WITHIN_SAME_TREE -1801 3 2100 2081 13513941 3 ./86/disk/ELEKTRON/STROBBO.XLS
DUPTYPE_WITHIN_SAME_TREE -1801 3 2100 2081 13513645 3 ./52/disk/ELEKTRON/STROBBO.XLS
DUPTYPE_FIRST_OCCURRENCE 1720 3 2176 2081 13513336 3 ./30/disk/BMA/RECHT01.WRI
DUPTYPE_WITHIN_SAME_TREE -1720 3 2176 2081 13513373 3 ./31/disk/BMA/RECHT01.WRI
DUPTYPE_FIRST_OCCURRENCE 1794 3 2205 2081 13513416 3 ./34/disk/ELEKTRON/FPU_40.XLS
DUPTYPE_WITHIN_SAME_TREE -1794 3 2205 2081 13513656 3 ./52/disk/ELEKTRON/FPU_40.XLS
DUPTYPE_WITHIN_SAME_TREE -1794 3 2205 2081 13513942 3 ./86/disk/ELEKTRON/FPU_40.XLS
DUPTYPE_FIRST_OCCURRENCE 1834 3 2304 2081 13513423 3 ./34/disk/PFADI/Ü1.WRI
DUPTYPE_WITHIN_SAME_TREE -1834 3 2304 2081 13513874 3 ./84/disk/PFADI/Ü1.WRI
DUPTYPE_WITHIN_SAME_TREE -1834 3 2304 2081 13513949 3 ./86/disk/PFADI/Ü1.WRI
DUPTYPE_FIRST_OCCURRENCE 1707 3 2343 2081 13513326 3 ./30/disk/BMA/AARAUE~1.TXT
DUPTYPE_WITHIN_SAME_TREE -1707 3 2343 2081 13513454 3 ./34/disk/BMA/AARAUE~1.TXT
DUPTYPE_WITHIN_SAME_TREE -1707 3 2343 2081 13513362 3 ./31/disk/BMA/AARAUE~1.TXT
DUPTYPE_WITHIN_SAME_TREE -1707 3 2343 2081 13513980 3 ./86/disk/BMA/AARAUE~1.TXT
DUPTYPE_FIRST_OCCURRENCE 2221 4 2384 2081 13512978 3 ./14/disk/2001/Oktober/18.txt
DUPTYPE_WITHIN_SAME_TREE -2221 4 2384 2081 13513009 3 ./15/disk/2001/Oktober/18.txt
DUPTYPE_FIRST_OCCURRENCE 757 2 2400 2081 13515607 3 ./217/disk/$RUN.OVL
DUPTYPE_WITHIN_SAME_TREE -757 2 2400 2081 13515621 3 ./217/disk/IBM$RUN.OVL
DUPTYPE_FIRST_OCCURRENCE 1605 3 2455 2081 13515501 3 ./214/disk/LEMMINGS/LEMMINGS.INF
DUPTYPE_WITHIN_SAME_TREE -1605 3 2455 2081 13515551 3 ./215/disk/LEMMINGS/LEMMINGS.INF
DUPTYPE_FIRST_OCCURRENCE 1822 3 2726 2081 13513442 3 ./34/disk/PFADI/PFADI.DRW
DUPTYPE_WITHIN_SAME_TREE -1822 3 2726 2081 13513968 3 ./86/disk/PFADI/PFADI.DRW
DUPTYPE_WITHIN_SAME_TREE -1822 3 2726 2081 13513893 3 ./84/disk/PFADI/PFADI.DRW
DUPTYPE_FIRST_OCCURRENCE 1142 2 2815 2081 13514016 3 ./89/disk/CMPQ_RUN.OVL
DUPTYPE_WITHIN_SAME_TREE -1142 2 2815 2081 13514035 3 ./89/disk/_RUN.OVL
DUPTYPE_WITHIN_SAME_TREE -1142 2 2815 2081 13514017 3 ./89/disk/IBM_RUN.OVL
DUPTYPE_FIRST_OCCURRENCE 2224 4 2902 2081 13512972 3 ./14/disk/2001/September/27.txt
DUPTYPE_WITHIN_SAME_TREE -2224 4 2902 2081 13513003 3 ./15/disk/2001/September/27.txt
DUPTYPE_WITHIN_SAME_TREE -2224 4 2902 2081 13513810 3 ./68/disk/2001/September/27.txt
DUPTYPE_FIRST_OCCURRENCE 1604 3 2934 2081 13515500 3 ./214/disk/LEMMINGS/LEMEDIT
DUPTYPE_WITHIN_SAME_TREE -1604 3 2934 2081 13515550 3 ./215/disk/LEMMINGS/LEMEDIT
DUPTYPE_FIRST_OCCURRENCE 1815 3 3012 2081 13513439 3 ./34/disk/PFADI/LILIE4.DRW
DUPTYPE_WITHIN_SAME_TREE -1815 3 3012 2081 13513965 3 ./86/disk/PFADI/LILIE4.DRW
DUPTYPE_WITHIN_SAME_TREE -1815 3 3012 2081 13513890 3 ./84/disk/PFADI/LILIE4.DRW
DUPTYPE_FIRST_OCCURRENCE 1802 3 3047 2081 13513413 3 ./34/disk/ELEKTRON/STROBBOF.DRW
DUPTYPE_WITHIN_SAME_TREE -1802 3 3047 2081 13513939 3 ./86/disk/ELEKTRON/STROBBOF.DRW
DUPTYPE_WITHIN_SAME_TREE -1802 3 3047 2081 13513636 3 ./52/disk/ELEKTRON/STROBBOF.DRW
DUPTYPE_FIRST_OCCURRENCE 1729 3 3260 2081 13513347 3 ./30/disk/BS/ECCODE.NUM
DUPTYPE_WITHIN_SAME_TREE -1729 3 3260 2081 13513382 3 ./31/disk/BS/ECCODE.NUM
DUPTYPE_FIRST_OCCURRENCE 1816 3 3584 2081 13513440 3 ./34/disk/PFADI/LILIEGE.PIC
DUPTYPE_WITHIN_SAME_TREE -1816 3 3584 2081 13513966 3 ./86/disk/PFADI/LILIEGE.PIC
DUPTYPE_WITHIN_SAME_TREE -1816 3 3584 2081 13513891 3 ./84/disk/PFADI/LILIEGE.PIC
